known_developer,known_publisher,multi_player,single_player,co-op,mmo,in_app_purchases,achievements,positive_ratings,average_playtime,median_playtime,price,owners,owners
1,1,0,1,0,0,0,0,0.67,20,25,4.99,1000000-2000000,1500000
1,1,0,1,0,0,0,0,0.73,62,43,7.19,1000000-2000000,1500000
1,1,1,1,0,0,0,0,0.95,324,245,4.99,1000000-2000000,1500000
1,1,0,1,0,0,0,0,0.6,24,31,4.99,500000-1000000,750000
1,1,0,1,0,0,0,0,0.84,254,368,6.99,500000-1000000,750000
1,1,0,1,0,0,0,0,0.87,714,725,4.99,500000-1000000,750000
1,1,1,1,0,0,0,0,0.74,0,0,3.99,50000-100000,75000
1,1,1,1,1,0,0,0,0.94,0,0,6.99,50000-100000,75000
0,0,0,1,0,0,0,0,0.74,0,0,8.99,200000-500000,350000
1,1,1,1,0,0,0,0,0.95,4774,4774,25.99,100000-200000,150000
0,1,0,1,0,0,0,0,0.72,14,14,6.99,100000-200000,150000
0,1,0,1,0,0,0,0,0.57,0,0,6.99,100000-200000,150000
0,1,1,1,0,0,0,0,0.56,0,0,6.99,20000-50000,35000
0,0,0,1,0,0,0,0,0.67,0,0,6.99,0-20000,10000
1,1,0,1,0,0,0,0,0.62,313,341,6.99,500000-1000000,750000
1,0,1,1,1,0,1,61,0.6,327,403,14.99,500000-1000000,750000
1,1,0,1,0,0,0,0,0.44,320,330,6.99,200000-500000,350000
0,1,1,1,0,0,0,0,0.66,165,253,5.99,500000-1000000,750000
0,1,1,1,0,0,0,0,0.7,46,46,5.99,200000-500000,350000
0,1,0,1,0,0,0,0,0.84,1244,1261,2.99,200000-500000,350000
1,1,0,1,0,0,0,0,0.92,66,82,2.99,500000-1000000,750000
1,1,0,1,0,0,0,0,0.89,18,18,2.99,500000-1000000,750000
1,1,1,1,0,0,0,0,0.51,0,0,2.99,500000-1000000,750000
1,1,0,1,0,0,0,0,0.94,2235,2224,2.99,1000000-2000000,1500000
1,1,1,1,0,0,0,0,0.51,0,0,2.99,500000-1000000,750000
0,0,1,1,0,0,0,0,0.87,0,0,3.99,200000-500000,350000
0,0,0,1,0,0,0,0,0.41,0,0,1.99,20000-50000,35000
0,0,1,1,0,0,0,0,0.67,113,113,3.99,100000-200000,150000
1,1,1,1,0,0,0,0,0.91,1417,1503,19.99,1000000-2000000,1500000
0,1,0,1,0,0,0,0,0.84,239,280,6.99,500000-1000000,750000
0,1,1,1,0,0,0,0,0.63,209,209,4.99,200000-500000,350000
0,1,0,1,0,0,0,0,0.46,0,0,3.99,50000-100000,75000
1,1,0,1,0,0,0,0,0.75,313,565,6.99,500000-1000000,750000
0,1,1,1,0,0,0,0,0.66,132,132,6.99,200000-500000,350000
1,1,0,1,0,0,0,50,0.91,519,272,9.99,2000000-5000000,3500000
1,1,0,1,0,0,0,0,0.52,0,0,0.0,100000-200000,150000
1,1,0,1,0,0,0,0,0.57,0,0,0.0,100000-200000,150000
1,1,0,1,0,0,0,0,0.47,0,0,1.99,100000-200000,150000
1,1,0,1,0,0,0,0,0.9,0,0,22.99,100000-200000,150000
0,1,0,1,0,0,0,0,0.9,109,109,2.99,100000-200000,150000
0,0,1,0,1,1,0,0,0.75,5123,230,0.0,1000000-2000000,1500000
0,0,1,1,0,0,0,0,0.83,1636,218,2.49,1000000-2000000,1500000
0,0,1,1,0,0,0,0,0.92,0,0,4.99,50000-100000,75000
1,1,0,1,0,0,0,0,0.96,108,108,5.99,1000000-2000000,1500000
0,1,0,1,0,0,0,80,0.95,614,519,19.99,2000000-5000000,3500000
0,1,1,1,0,0,0,0,0.57,16,16,2.99,200000-500000,350000
0,1,1,1,0,0,0,0,0.81,23,23,2.99,200000-500000,350000
1,1,1,1,0,0,0,286,0.96,4760,1797,19.99,5000000-10000000,7500000
0,1,0,1,0,0,0,12,0.71,0,0,3.49,20000-50000,35000
1,1,0,1,0,0,0,0,0.85,0,0,2.49,200000-500000,350000
0,0,1,1,0,0,0,0,0.92,32,48,3.99,200000-500000,350000
0,1,1,1,0,0,0,0,0.91,88,91,2.49,200000-500000,350000
0,1,1,1,0,0,0,0,0.94,129,152,2.49,200000-500000,350000
1,1,1,1,0,0,0,0,0.88,362,394,0.0,200000-500000,350000
0,1,1,1,1,0,0,0,0.82,10,10,2.99,200000-500000,350000
1,1,0,1,0,0,0,0,0.82,7,12,0.0,500000-1000000,750000
1,1,0,1,0,0,0,0,0.94,145,145,2.99,200000-500000,350000
1,1,1,1,1,0,0,60,0.77,559,392,7.99,1000000-2000000,1500000
1,1,1,1,0,0,0,0,0.89,213,365,9.99,500000-1000000,750000
1,1,1,1,0,0,0,0,0.92,79,106,9.99,2000000-5000000,3500000
1,1,1,1,0,0,0,0,0.87,306,306,8.99,1000000-2000000,1500000
1,1,1,1,0,0,0,0,0.97,803,1067,8.99,1000000-2000000,1500000
1,1,1,1,0,0,0,0,0.95,1433,1629,9.99,1000000-2000000,1500000
0,1,0,1,1,0,0,0,0.62,154,154,9.99,200000-500000,350000
1,1,0,1,0,0,0,0,0.77,322,81,9.99,2000000-5000000,3500000
0,0,1,1,0,0,0,11,0.63,23,23,5.99,200000-500000,350000
0,1,0,1,0,0,0,0,0.44,0,0,6.99,50000-100000,75000
1,1,1,1,0,0,0,0,0.81,0,0,1.99,20000-50000,35000
0,0,0,1,0,0,0,0,0.75,64,84,3.99,100000-200000,150000
0,1,1,1,1,0,0,0,0.59,0,0,13.99,20000-50000,35000
1,1,1,0,1,1,0,709,0.72,12952,724,0.0,1000000-2000000,1500000
1,1,1,0,1,1,1,0,0.76,2514,638,0.0,1000000-2000000,1500000
0,0,0,1,0,0,0,20,0.83,222,360,1.99,50000-100000,75000
0,1,0,1,0,0,0,0,0.41,0,0,4.79,0-20000,10000
0,1,0,1,0,0,0,12,0.17,0,0,6.99,0-20000,10000
0,0,0,1,0,0,0,0,0.67,23,23,4.99,20000-50000,35000
1,1,1,1,1,0,0,0,0.93,2331,1108,19.99,1000000-2000000,1500000
0,1,0,1,0,0,0,0,0.8,10,19,14.99,100000-200000,150000
0,1,0,1,0,0,0,0,0.77,10,10,9.99,100000-200000,150000
0,1,0,1,0,0,0,0,0.47,0,0,6.99,0-20000,10000
0,1,1,1,0,0,0,0,0.8,0,0,9.99,100000-200000,150000
0,1,0,1,0,0,0,0,0.64,0,0,6.99,0-20000,10000
1,1,0,1,0,0,0,0,0.8,645,1001,14.99,500000-1000000,750000
1,1,1,1,1,0,0,50,0.91,999,580,19.99,5000000-10000000,7500000
0,0,0,1,0,0,0,38,0.37,411,411,8.99,50000-100000,75000
0,0,0,1,0,0,0,0,0.28,0,0,5.59,0-20000,10000
0,0,0,1,0,0,0,0,0.6,0,0,4.99,0-20000,10000
0,0,1,1,0,0,0,0,0.5,0,0,4.99,0-20000,10000
0,0,1,1,0,0,0,0,0.33,0,0,4.99,0-20000,10000
0,1,1,1,0,0,0,0,0.71,889,889,9.99,50000-100000,75000
0,1,1,1,0,0,0,0,0.49,0,0,9.99,20000-50000,35000
